ChildlessnessPercent,CCF,HFDCountry,DHSIndianDistrict,Title,Note,Source
0.01754386,3.175438642501831,0,1,,,
0.008130081,3.162601709365845,0,1,,,
0.009259259,3.333333253860474,0,1,,,
0.032786883,3.254098415374756,0,1,,,
0.058333334,2.891666650772095,0,1,,,
0.043103449,2.672413826,0,1,,,
0.030303031,2.656565666,0,1,,,
0.091743119,2.568807363510132,0,1,,,
.1034482792019844,2.387931108474731,0,1,,,
0.029411765,3.078431367874146,0,1,,,
0.024390243,2.780487775802612,0,1,,,
0.06666667,2.057142972946167,0,1,,,
0.082568809,2.660550355911255,0,1,,,
0.025641026,2.581196546554565,0,1,,,
0.026785715,2.875,0,1,,,
0.0546875,2.078125,0,1,,,
0.033333335,2.724999904632568,0,1,,,
0.009174312,3.467890024185181,0,1,,,
0.060869563,2.895652055740356,0,1,,,
0.05172414,2.336206912994385,0,1,,,
0.046511628,2.976744174957275,0,1,,,
0.012820513,3.179487228393555,0,1,,,
.1078431382775307,2.725490093231201,0,1,,,
0.01980198,3.06930685,0,1,,,
0.067415729,2.910112380981445,0,1,,,
.1081081107258797,2.540540456771851,0,1,,,
0.071428575,2.242857217788696,0,1,,,
0.055555556,2.527777671813965,0,1,,,
0.061946902,3.070796489715576,0,1,,,
0.017094018,3.606837511062622,0,1,,,
0.035971224,2.798561096191406,0,1,,,
0.065040648,2.983739852905273,0,1,,,
0.043956045,3.010988951,0,1,,,
0.047619049,3.076190472,0,1,,,
0.050000001,2.480000019073486,0,1,,,
0.044117648,2.544117689,0,1,,,
0.030303031,2.585858583450317,0,1,,,
0.011235955,2.988764047622681,0,1,,,
0.026548672,3.008849620819092,0,1,,,
0.009259259,2.425925970077515,0,1,,,
0.037878789,2.643939495,0,1,,,
0.042372882,2.466101646,0,1,,,
0.039682541,2.515872955322266,0,1,,,
0.032258064,2.064516067504883,0,1,,,
0.034482758,2.594827651977539,0,1,,,
0.058333334,2.333333253860474,0,1,,,
0.034482758,2.905172348022461,0,1,,,
0.03125,2.791666746139526,0,1,,,
0,3.044444561004639,0,1,,,
0.042016808,2.890756368637085,0,1,,,
0.050000001,2.775000095367432,0,1,,,
0.073394492,2.559633016586304,0,1,,,
0.027777778,2.314814805984497,0,1,,,
0.064516127,2.258064508,0,1,,,
0.063636363,2.509090900421143,0,1,,,
0.036363635,2.872727155685425,0,1,,,
0.093220338,2.169491529464722,0,1,,,
0.053097345,2.805309772491455,0,1,,,
0.037383176,2.280373811721802,0,1,,,
0.060869563,2.747826099395752,0,1,,,
0.06666667,2.676190376281738,0,1,,,
0.028846154,2.182692289352417,0,1,,,
0,2.862068891525269,0,1,,,
0.019417476,2.533980608,0,1,,,
0,2.934210538864136,0,1,,,
0.018691588,3.168224334716797,0,1,,,
0.066037737,2.103773593902588,0,1,,,
0.089887641,2.146067380905151,0,1,,,
0.02631579,2.940789461135864,0,1,,,
0.061068702,5.267175674438477,0,1,,,
0.027210884,2.56462574,0,1,,,
0.07079646,2.530973434448242,0,1,,,
0.048387095,5.024193764,0,1,,,
0.014492754,2.528985500335693,0,1,,,
0.05882353,4.672268867492676,0,1,,,
0.024,5.631999969482422,0,1,,,
0.016666668,2.666666746139526,0,1,,,
0.017094018,2.47863245,0,1,,,
0.02631579,2.280701637268066,0,1,,,
0.008695652,2.252173900604248,0,1,,,
0.020618556,2.659793853759766,0,1,,,
0.067307696,2.009615421295166,0,1,,,
0,2.339999914169312,0,1,,,
0.049019609,2.245098114013672,0,1,,,
0.043010753,2.268817186355591,0,1,,,
0.033333335,2.077777862548828,0,1,,,
0.043859649,2.5,0,1,,,
0.05102041,2.183673382,0,1,,,
0.043956045,1.956043959,0,1,,,
0.016393442,2.090163946151733,0,1,,,
0.076086953,2.217391253,0,1,,,
0.065420561,2.158878564834595,0,1,,,
0.063829787,2.446808576583862,0,1,,,
0.086956523,2.021739244,0,1,,,
0.021276595,2.5,0,1,,,
0.033333335,2.211111068725586,0,1,,,
